method,feature,level_0_mean,level_1_mean,level_2_mean,level_3_mean,delta_0_1,delta_1_2,delta_2_3,delta_0_3,monotonic
Method A,privacy_risk_score,0.5262,0.5262,0.74,0.90435,0.0,0.2138,0.16435,0.37815,True
Method A,subject_scope,0.175,0.375,1.0,1.0,0.2,0.625,0.0,0.825,True
Method A,data_sensitivity,0.3625,0.3625,0.3625,0.3625,0.0,0.0,0.0,0.0,True
Method A,disclosure_level,0.21875,0.35,0.7,1.0,0.13124999999999998,0.35,0.30000000000000004,0.78125,True
Method B,privacy_risk_score,0.1125,0.11624999999999999,0.2525,1.0,0.0037499999999999895,0.13625,0.7475,0.8875,True
Method B,subject_scope,0.5625,0.18625,0.1875,1.0,-0.37625,0.0012500000000000011,0.8125,0.4375,False
Method B,data_sensitivity,0.25,0.28,0.475,1.0,0.030000000000000027,0.19499999999999995,0.525,0.75,True
Method B,disclosure_level,0.1,0.115,0.16875,1.0,0.015,0.053750000000000006,0.83125,0.9,True
Method C,privacy_risk_score,0.11625,0.1675,0.39749999999999996,0.98125,0.051250000000000004,0.22999999999999995,0.58375,0.865,True
Method C,subject_scope,0.0475,0.2,0.97875,1.0,0.15250000000000002,0.77875,0.02124999999999999,0.9525,True
Method C,data_sensitivity,0.2475,0.35,0.6062500000000001,0.9525,0.10249999999999998,0.2562500000000001,0.34624999999999995,0.7050000000000001,True
Method C,disclosure_level,0.11750000000000001,0.18,0.25375,1.0,0.062499999999999986,0.07374999999999998,0.7462500000000001,0.8825,True
