method,privacy_level,n_samples,n_valid_privacy_risk_score,privacy_risk_score_mean,privacy_risk_score_std,n_valid_subject_scope,subject_scope_mean,subject_scope_std,n_valid_data_sensitivity,data_sensitivity_mean,data_sensitivity_std,n_valid_disclosure_level,disclosure_level_mean,disclosure_level_std
Method A,0,8,8,0.5262,0.1904576368344715,8,0.175,0.07071067811865475,8,0.3625,0.31819805153394637,8,0.21875,0.05303300858899105
Method A,1,8,8,0.5262,0.1904576368344715,8,0.375,0.07071067811865478,8,0.3625,0.31819805153394637,8,0.35,0.0
Method A,2,8,8,0.74,0.10451800938457585,8,1.0,0.0,8,0.3625,0.31819805153394637,8,0.7,0.0
Method A,3,8,8,0.90435,0.038444133864237715,8,1.0,0.0,8,0.3625,0.31819805153394637,8,1.0,0.0
Method B,0,8,8,0.1125,0.03535533905932738,8,0.5625,0.4718883039751795,8,0.25,0.15118578920369088,8,0.1,0.05345224838248488
Method B,1,8,8,0.11624999999999999,0.019955307206712843,8,0.18625,0.017677669529663695,8,0.28,0.08485281374238571,8,0.115,0.02449489742783178
Method B,2,8,8,0.2525,0.0700510018282598,8,0.1875,0.035355339059327376,8,0.475,0.15811388300841894,8,0.16875,0.04580626906564522
Method B,3,8,8,1.0,0.0,8,1.0,0.0,8,1.0,0.0,8,1.0,0.0
Method C,0,8,8,0.11625,0.02065879266282796,8,0.0475,0.01752549163769328,8,0.2475,0.0622781777878209,8,0.11750000000000001,0.019820624179302304
Method C,1,8,8,0.1675,0.03105295017040594,8,0.2,0.034226138716316974,8,0.35,0.07502380574571932,8,0.18,0.019272482233188625
Method C,2,8,8,0.39749999999999996,0.023145502494313783,8,0.97875,0.009910312089651157,8,0.6062500000000001,0.10280876838647013,8,0.25375,0.05780200194259216
Method C,3,8,8,0.98125,0.0035355339059327407,8,1.0,0.0,8,0.9525,0.023145502494313755,8,1.0,0.0
