0.00.514.172 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.515.798 W srv  llama_server: -----------------
0.00.515.803 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.515.804 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.515.804 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.515.804 W srv  llama_server: -----------------
0.00.527.795 I srv    load_model: loading model 'bartowski/Meta-Llama-3.1-8B-Instruct-GGUF:Q4_K_M'
0.06.604.325 I cmn          init: llama threadpool init, n_threads = 20
0.07.081.770 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 77312, kv_unified = 'true'
0.07.086.645 I srv  llama_server: model loaded
0.07.086.653 I srv  llama_server: listening on http://127.0.0.1:8081
0.08.036.563 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.08.036.603 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.08.108.682 I slot print_timing: id  3 | task 0 | prompt eval time =      44.07 ms /    40 tokens (    1.10 ms per token,   907.56 tokens per second)
0.08.108.687 I slot print_timing: id  3 | task 0 |        eval time =      27.86 ms /     3 tokens (   13.93 ms per token,    71.79 tokens per second)
0.08.108.688 I slot print_timing: id  3 | task 0 |       total time =      71.93 ms /    43 tokens
0.08.108.688 I slot print_timing: id  3 | task 0 |    graphs reused =          2
0.08.108.725 I slot      release: id  3 | task 0 | stop processing: n_tokens = 42, truncated = 0
0.08.120.355 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.08.120.387 I slot launch_slot_: id  2 | task 4 | processing task, is_child = 0
0.09.919.725 I slot print_timing: id  2 | task 4 | prompt eval time =     728.06 ms /  2214 tokens (    0.33 ms per token,  3040.97 tokens per second)
0.09.919.732 I slot print_timing: id  2 | task 4 |        eval time =    1064.56 ms /    77 tokens (   14.01 ms per token,    71.39 tokens per second)
0.09.919.733 I slot print_timing: id  2 | task 4 |       total time =    1792.62 ms /  2291 tokens
0.09.919.735 I slot print_timing: id  2 | task 4 |    graphs reused =         77
0.09.919.862 I slot      release: id  2 | task 4 | stop processing: n_tokens = 2290, truncated = 0
0.09.931.304 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.987 (> 0.100 thold), f_keep = 0.954
0.09.931.393 I slot launch_slot_: id  2 | task 83 | processing task, is_child = 0
0.11.111.249 I slot print_timing: id  2 | task 83 | prompt eval time =      41.15 ms /    29 tokens (    1.42 ms per token,   704.79 tokens per second)
0.11.111.255 I slot print_timing: id  2 | task 83 |        eval time =    1138.58 ms /    83 tokens (   13.89 ms per token,    72.02 tokens per second)
0.11.111.256 I slot print_timing: id  2 | task 83 |       total time =    1179.72 ms /   112 tokens
0.11.111.257 I slot print_timing: id  2 | task 83 |    graphs reused =        158
0.11.111.367 I slot      release: id  2 | task 83 | stop processing: n_tokens = 2296, truncated = 0
0.11.123.929 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.985 (> 0.100 thold), f_keep = 0.952
0.11.124.064 I slot launch_slot_: id  2 | task 167 | processing task, is_child = 0
0.12.346.346 I slot print_timing: id  2 | task 167 | prompt eval time =      44.15 ms /    33 tokens (    1.34 ms per token,   747.40 tokens per second)
0.12.346.352 I slot print_timing: id  2 | task 167 |        eval time =    1178.00 ms /    84 tokens (   14.19 ms per token,    70.46 tokens per second)
0.12.346.353 I slot print_timing: id  2 | task 167 |       total time =    1222.15 ms /   117 tokens
0.12.346.354 I slot print_timing: id  2 | task 167 |    graphs reused =        240
0.12.346.463 I slot      release: id  2 | task 167 | stop processing: n_tokens = 2301, truncated = 0
0.12.357.931 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.986 (> 0.100 thold), f_keep = 0.950
0.12.358.072 I slot launch_slot_: id  2 | task 252 | processing task, is_child = 0
0.13.528.239 I slot print_timing: id  2 | task 252 | prompt eval time =      41.24 ms /    30 tokens (    1.37 ms per token,   727.52 tokens per second)
0.13.528.245 I slot print_timing: id  2 | task 252 |        eval time =    1128.80 ms /    82 tokens (   13.94 ms per token,    71.76 tokens per second)
0.13.528.246 I slot print_timing: id  2 | task 252 |       total time =    1170.04 ms /   112 tokens
0.13.528.249 I slot print_timing: id  2 | task 252 |    graphs reused =        320
0.13.528.356 I slot      release: id  2 | task 252 | stop processing: n_tokens = 2296, truncated = 0
0.13.539.636 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.987 (> 0.100 thold), f_keep = 0.952
0.13.539.776 I slot launch_slot_: id  2 | task 335 | processing task, is_child = 0
0.14.719.938 I slot print_timing: id  2 | task 335 | prompt eval time =      41.14 ms /    29 tokens (    1.42 ms per token,   704.88 tokens per second)
0.14.719.944 I slot print_timing: id  2 | task 335 |        eval time =    1138.89 ms /    83 tokens (   13.89 ms per token,    72.00 tokens per second)
0.14.719.945 I slot print_timing: id  2 | task 335 |       total time =    1180.03 ms /   112 tokens
0.14.719.946 I slot print_timing: id  2 | task 335 |    graphs reused =        401
0.14.720.053 I slot      release: id  2 | task 335 | stop processing: n_tokens = 2296, truncated = 0
0.14.751.184 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.987 (> 0.100 thold), f_keep = 0.952
