analysis,noise_amplitude,perturbation_run,random_seed,success,error,rmse,relative_error,structure_score,sign_agreement,significance_agreement,top3_overlap,rank_score,edge_jaccard,group_order_agreement,highest_domain_retention,category_agreement,top2_overlap,bottom2_overlap,r_squared_change,regression_sign_agreement,regression_top3_overlap,variance_rank_agreement,regression_rank_agreement
Logistic Regression,0.1,1,2026,True,,0.022337212838813132,0.23018324602680726,0.8839285714285714,1.0,1.0,0.6666666666666666,0.8690476190476191,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.1,1,2026,True,,0.0019179525960509637,0.04370678099809223,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.0003491933104209366,nan,nan,nan,nan
Figure 1,0.1,1,2026,True,,0.009718381354241579,0.016400280944050334,0.9900793650793651,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,1.0,1.0,0.9880952380952381,0.9523809523809523
Figure 2,0.1,1,2026,True,,0.0588364722269804,0.05700270344345706,0.6178225922262264,nan,nan,nan,0.4712903689049056,nan,nan,nan,1.0,0.5,0.5,nan,nan,nan,nan,nan
Correlation Analysis,0.1,1,2026,True,,0.0042387597232737715,0.04404847840024214,0.9987684729064039,1.0,nan,1.0,0.9950738916256158,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.1,1,2026,True,,0.022169415990348548,0.020913477676303298,0.9940476190476191,nan,nan,nan,0.9821428571428572,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.1,2,2027,True,,0.006243401663154624,0.06433776995565661,0.9107142857142857,1.0,1.0,0.6666666666666666,0.9761904761904763,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.1,2,2027,True,,0.0019839595649335275,0.04521096422933484,0.9136904761904762,1.0,1.0,0.6666666666666666,0.9880952380952381,nan,nan,nan,nan,nan,nan,0.0010561149883268062,nan,nan,nan,nan
Figure 1,0.1,2,2027,True,,0.008114479031342754,0.01369361120723505,0.9920634920634921,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.9523809523809523
Figure 2,0.1,2,2027,True,,0.056369128189899566,0.05461225964023043,0.5507346289431841,nan,nan,nan,0.7029385157727365,nan,nan,nan,1.0,0.5,0.0,nan,nan,nan,nan,nan
Correlation Analysis,0.1,2,2027,True,,0.0034547614864884673,0.035901300533742686,0.9991789819376027,1.0,nan,1.0,0.9967159277504105,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.1,2,2027,True,,0.01536510361435196,0.014494642149018773,0.9940476190476191,nan,nan,nan,0.9821428571428572,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.1,3,2028,True,,0.01060041028356401,0.10923640589782559,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.1,3,2028,True,,0.0027839659712213414,0.06344170927938778,0.9077380952380952,1.0,1.0,0.6666666666666666,0.9642857142857144,nan,nan,nan,nan,nan,nan,0.0013853469862590284,nan,nan,nan,nan
Figure 1,0.1,3,2028,True,,0.01447529426646642,0.024427822295143602,0.8313492063492064,nan,nan,nan,nan,0.6666666666666666,0.75,nan,nan,nan,nan,nan,1.0,0.6666666666666666,0.9880952380952381,0.9166666666666667
Figure 2,0.1,3,2028,True,,0.057658422069544406,0.05586136982462993,0.5494443646637737,nan,nan,nan,0.6977774586550948,nan,nan,nan,1.0,0.0,0.5,nan,nan,nan,nan,nan
Correlation Analysis,0.1,3,2028,True,,0.004936356829060593,0.051297790239647284,0.9150930487137383,1.0,nan,1.0,0.9937055281882867,0.6666666666666666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.1,3,2028,True,,0.02368376928799394,0.02234204006595447,0.9107142857142857,nan,nan,nan,0.9821428571428572,nan,0.75,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.1,4,2029,True,,0.01765063771239102,0.18188845279844787,0.8705357142857142,0.875,1.0,0.6666666666666666,0.9404761904761905,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.1,4,2029,True,,0.0029315018235950567,0.06680379299425217,0.9970238095238095,1.0,1.0,1.0,0.9880952380952381,nan,nan,nan,nan,nan,nan,0.001456673729306357,nan,nan,nan,nan
Figure 1,0.1,4,2029,True,,0.007812871420532452,0.013184632461510701,0.9375,nan,nan,nan,nan,0.6666666666666666,1.0,nan,nan,nan,nan,nan,1.0,1.0,0.9940476190476191,0.9642857142857144
Figure 2,0.1,4,2029,True,,0.05947364397201286,0.0576200163218451,0.5302449127430622,nan,nan,nan,0.6209796509722486,nan,nan,nan,1.0,0.0,0.5,nan,nan,nan,nan,nan
Correlation Analysis,0.1,4,2029,True,,0.004952890755736051,0.05146960802588231,0.9160509031198686,1.0,nan,1.0,0.9975369458128078,0.6666666666666666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Variance Analysis,0.1,4,2029,True,,0.014026809934633247,0.013232165275143528,0.9940476190476191,nan,nan,nan,0.9821428571428572,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Logistic Regression,0.1,5,2030,True,,0.010635057679736316,0.10959344462843483,0.9970238095238095,1.0,1.0,1.0,0.9880952380952381,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Multiple Linear Regression,0.1,5,2030,True,,0.002470110770288242,0.05628949886473022,0.9970238095238095,1.0,1.0,1.0,0.9880952380952381,nan,nan,nan,nan,nan,nan,0.0009435466038366647,nan,nan,nan,nan
