analysis,noise_amplitude,total_runs,successful_runs,failed_runs,failure_rate,mean_rmse,sd_rmse,mean_relative_error,sd_relative_error,mean_structure_score,sd_structure_score,mean_sign_agreement,mean_significance_agreement,mean_top3_overlap,mean_rank_score,mean_edge_jaccard,mean_group_order_agreement,mean_highest_domain_retention,mean_category_agreement,mean_r_squared_change
Logistic Regression,0.1,50,50,0,0.0,0.015836099436842235,0.004148206563306586,0.16318977658849787,0.04274694693657006,0.9342261904761904,0.0532218849677515,0.96,1.0,0.8133333333333332,0.9635714285714287,nan,nan,nan,nan,nan
Logistic Regression,0.25,50,50,0,0.0,0.038831601315584524,0.010113101694170236,0.40015664012068475,0.10421472867547776,0.8827976190476189,0.06945616021771174,0.92,1.0,0.74,0.8711904761904763,nan,nan,nan,nan,nan
Logistic Regression,0.5,50,50,0,0.0,0.07287176478066859,0.01869013494399334,0.7509378847736105,0.19260039115587518,0.7711011904761904,0.08724624991493372,0.8225,1.0,0.5533333333333332,0.7085714285714285,nan,nan,nan,nan,nan
Logistic Regression,0.75,50,50,0,0.0,0.0992683201737522,0.024841102451679253,1.0229523410153796,0.25598563430780436,0.7147023809523809,0.09622522020195874,0.735,1.0,0.4733333333333333,0.6504761904761905,nan,nan,nan,nan,nan
Logistic Regression,1.0,50,50,0,0.0,0.11748476290302787,0.028512423896841933,1.2106713706339778,0.29381831708490397,0.6814880952380952,0.10315915650860762,0.685,1.0,0.43999999999999995,0.6009523809523809,nan,nan,nan,nan,nan
Multiple Linear Regression,0.1,50,50,0,0.0,0.002587837234594813,0.0007005915545960632,0.05897227882692607,0.015965254672555763,0.9590773809523809,0.04593042209176001,0.9875,1.0,0.8666666666666666,0.9821428571428572,nan,nan,nan,nan,0.0005134153458439372
Multiple Linear Regression,0.25,50,50,0,0.0,0.006387500396991024,0.0017380606966735871,0.14555994843216424,0.03960735963303525,0.9039583333333332,0.07278683702684652,0.9425,1.0,0.7333333333333333,0.94,nan,nan,nan,nan,0.0012938366071470365
Multiple Linear Regression,0.5,50,50,0,0.0,0.012372410683067952,0.0033772462320543007,0.2819455732413413,0.07696152748767271,0.8638690476190476,0.07671830724945636,0.9075,0.9925,0.6533333333333334,0.9021428571428572,nan,nan,nan,nan,0.002556176766323046
Multiple Linear Regression,0.75,50,50,0,0.0,0.017778603217661552,0.004831081209134172,0.405143233928845,0.110091880699441,0.834434523809524,0.08706430903602409,0.88,0.9725,0.6333333333333333,0.851904761904762,nan,nan,nan,nan,0.0037093556780370364
Multiple Linear Regression,1.0,50,50,0,0.0,0.022525411613805023,0.006050970043275169,0.5133146847964636,0.13789101099369247,0.7983928571428572,0.08881182956594298,0.8475,0.9625,0.5866666666666667,0.796904761904762,nan,nan,nan,nan,0.004682384133979778
