analysis,sample_size,elite_count,semi_elite_count,sample_id,sample_seed,perturbation_run,noise_seed,noise_amplitude,success,error,rmse
Logistic Regression,120,10,110,1,2027,1,12026,0.5,True,,0.2252711790439206
Multiple Linear Regression,120,10,110,1,2027,1,12026,0.5,True,,0.027513023469823927
Correlation Analysis,120,10,110,1,2027,1,12026,0.5,True,,0.03093009295795376
Variance Analysis,120,10,110,1,2027,1,12026,0.5,True,,0.21955137901934266
Logistic Regression,120,10,110,1,2027,2,12027,0.5,True,,0.21734149026658042
Multiple Linear Regression,120,10,110,1,2027,2,12027,0.5,True,,0.028898247807408326
Correlation Analysis,120,10,110,1,2027,2,12027,0.5,True,,0.03360496858252228
Variance Analysis,120,10,110,1,2027,2,12027,0.5,True,,0.13244176506951227
Logistic Regression,120,10,110,1,2027,3,12028,0.5,True,,0.26553491701114335
Multiple Linear Regression,120,10,110,1,2027,3,12028,0.5,True,,0.02761085991033973
Correlation Analysis,120,10,110,1,2027,3,12028,0.5,True,,0.030200678454204755
Variance Analysis,120,10,110,1,2027,3,12028,0.5,True,,0.16218980640574382
Logistic Regression,120,10,110,1,2027,4,12029,0.5,True,,0.16572416582743496
Multiple Linear Regression,120,10,110,1,2027,4,12029,0.5,True,,0.015532955769294775
Correlation Analysis,120,10,110,1,2027,4,12029,0.5,True,,0.03798535630378932
Variance Analysis,120,10,110,1,2027,4,12029,0.5,True,,0.17691167842004896
Logistic Regression,120,10,110,1,2027,5,12030,0.5,True,,0.11958914646037203
Multiple Linear Regression,120,10,110,1,2027,5,12030,0.5,True,,0.01782364879162178
Correlation Analysis,120,10,110,1,2027,5,12030,0.5,True,,0.041467885843562216
Variance Analysis,120,10,110,1,2027,5,12030,0.5,True,,0.14835155042239395
Logistic Regression,120,10,110,1,2027,6,12031,0.5,True,,0.16618584654262103
Multiple Linear Regression,120,10,110,1,2027,6,12031,0.5,True,,0.027956252148330772
Correlation Analysis,120,10,110,1,2027,6,12031,0.5,True,,0.04213956239837963
Variance Analysis,120,10,110,1,2027,6,12031,0.5,True,,0.22746388047637164
Logistic Regression,120,10,110,1,2027,7,12032,0.5,True,,0.15909326123436662
Multiple Linear Regression,120,10,110,1,2027,7,12032,0.5,True,,0.021984699311312916
Correlation Analysis,120,10,110,1,2027,7,12032,0.5,True,,0.03691093313559182
Variance Analysis,120,10,110,1,2027,7,12032,0.5,True,,0.16751082102323364
Logistic Regression,120,10,110,1,2027,8,12033,0.5,True,,0.16421547329233224
Multiple Linear Regression,120,10,110,1,2027,8,12033,0.5,True,,0.020197330908966023
Correlation Analysis,120,10,110,1,2027,8,12033,0.5,True,,0.030735762753385184
Variance Analysis,120,10,110,1,2027,8,12033,0.5,True,,0.1478342978970122
Logistic Regression,120,10,110,1,2027,9,12034,0.5,True,,0.1357280657431157
Multiple Linear Regression,120,10,110,1,2027,9,12034,0.5,True,,0.029740319550067344
Correlation Analysis,120,10,110,1,2027,9,12034,0.5,True,,0.03231707772687309
Variance Analysis,120,10,110,1,2027,9,12034,0.5,True,,0.13382700909529097
Logistic Regression,120,10,110,1,2027,10,12035,0.5,True,,0.2774235632016668
Multiple Linear Regression,120,10,110,1,2027,10,12035,0.5,True,,0.03873262290091447
Correlation Analysis,120,10,110,1,2027,10,12035,0.5,True,,0.044606295706338304
Variance Analysis,120,10,110,1,2027,10,12035,0.5,True,,0.13956031431089416
Logistic Regression,120,10,110,2,2028,1,22026,0.5,True,,0.15762818294371175
Multiple Linear Regression,120,10,110,2,2028,1,22026,0.5,True,,0.019781095931717195
Correlation Analysis,120,10,110,2,2028,1,22026,0.5,True,,0.04557971385914744
Variance Analysis,120,10,110,2,2028,1,22026,0.5,True,,0.17557549456350116
Logistic Regression,120,10,110,2,2028,2,22027,0.5,True,,0.10185245805712184
Multiple Linear Regression,120,10,110,2,2028,2,22027,0.5,True,,0.014219318870377624
Correlation Analysis,120,10,110,2,2028,2,22027,0.5,True,,0.036848075956526345
Variance Analysis,120,10,110,2,2028,2,22027,0.5,True,,0.16343251030016426
Logistic Regression,120,10,110,2,2028,3,22028,0.5,True,,0.2337889792889385
Multiple Linear Regression,120,10,110,2,2028,3,22028,0.5,True,,0.02027158356915186
Correlation Analysis,120,10,110,2,2028,3,22028,0.5,True,,0.032142037701095486
Variance Analysis,120,10,110,2,2028,3,22028,0.5,True,,0.15351017781663354
Logistic Regression,120,10,110,2,2028,4,22029,0.5,True,,0.1041578243132236
