analysis,sample_size,elite_count,semi_elite_count,total_runs,successful_runs,failed_runs,failure_rate,mean_rmse,sd_rmse
Logistic Regression,120,10,110,100,100,0,0.0,0.16403393410840447,0.051801234947044535
Logistic Regression,180,15,165,100,100,0,0.0,0.11591557744687772,0.041515272346587896
Logistic Regression,240,20,220,100,100,0,0.0,0.0864096472832188,0.025983530247530667
Logistic Regression,300,25,275,100,100,0,0.0,0.0718375197215847,0.019702163454512107
Multiple Linear Regression,120,10,110,100,100,0,0.0,0.022405468368315504,0.006585148665668204
Multiple Linear Regression,180,15,165,100,100,0,0.0,0.018052284035919047,0.004953300051988596
Multiple Linear Regression,240,20,220,100,100,0,0.0,0.015219015879112834,0.003908625978253044
Multiple Linear Regression,300,25,275,100,100,0,0.0,0.012695423678266957,0.0034742609880484467
Correlation Analysis,120,10,110,100,100,0,0.0,0.03566937735657439,0.004662465347007044
Correlation Analysis,180,15,165,100,100,0,0.0,0.029754450343479896,0.0045485388353952196
Correlation Analysis,240,20,220,100,100,0,0.0,0.02532007138675161,0.0035799096813591527
Correlation Analysis,300,25,275,100,100,0,0.0,0.02353584688500935,0.0032655966757224623
Variance Analysis,120,10,110,100,100,0,0.0,0.16760649358182242,0.036040874320188133
Variance Analysis,180,15,165,100,100,0,0.0,0.13593384644308615,0.03200767170965416
Variance Analysis,240,20,220,100,100,0,0.0,0.12510140393974262,0.025947259507579683
Variance Analysis,300,25,275,100,100,0,0.0,0.12118736823318389,0.019861481310022966
